product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391867
disable-admin-notices,90070
optimole-wp,71165
robin-image-optimizer,55286
otter-blocks,34572
remove-category-url,33440
cyrlitera,28979
neve,28327
cyr-and-lat,18272
templates-patterns-collection,15887
feedzy-rss-feeds,10447
wp-full-stripe-free,10395
themeisle-companion,8652
wp-maintenance-mode,8381
menu-icons,8069
wp-cloudflare-page-cache,7999
hyve-lite,7415
instagram-slider-widget,5225
visualizer,3002
multiple-pages-generator-by-porthas,2886
wpcf7-redirect,2544
insert-php,2057
hestia,2000
tweet-old-post,1447
anti-spam,1100
media-library-organizer,615
intergeo-maps,537
shop-isle,498
neve-fse,384
raft,261
non-profit-fse,134
riverbank,105
fork,66
church-fse,62
jaxon,55
eduacademy,21
lmscourse-fse,19
