Date,Downloads
2024-08-29,2513
2024-08-30,1280
2024-08-31,703
2024-09-01,631
2024-09-02,953
2024-09-03,844
2024-09-04,1055
2024-09-05,773
2024-09-06,568
2024-09-07,429
2024-09-08,322
2024-09-09,571
2024-09-10,1013
2024-09-11,787
2024-09-12,724
2024-09-13,845
2024-09-14,402
2024-09-15,252
2024-09-16,436
2024-09-17,420
2024-09-18,452
2024-09-19,423
2024-09-20,324
2024-09-21,206
2024-09-22,703
2024-09-23,335
2024-09-24,404
2024-09-25,389
2024-09-26,376
2024-09-27,358
2024-09-28,206
2024-09-29,189
2024-09-30,406
2024-10-01,444
2024-10-02,869
2024-10-03,534
2024-10-04,310
2024-10-05,192
2024-10-06,180
2024-10-07,336
2024-10-08,10588
2024-10-09,10114
2024-10-10,1557
2024-10-11,1045
2024-10-12,616
2024-10-13,423
2024-10-14,693
2024-10-15,793
2024-10-16,834
2024-10-17,799
2024-10-18,755
2024-10-19,423
2024-10-20,286
2024-10-21,608
2024-10-22,641
2024-10-23,771
2024-10-24,926
2024-10-25,2113
2024-10-26,292
2024-10-27,237
2024-10-28,461
2024-10-29,478
2024-10-30,17515
2024-10-31,3852
2024-11-01,1239
2024-11-02,579
2024-11-03,459
2024-11-04,1039
2024-11-05,871
2024-11-06,783
2024-11-07,711
2024-11-08,590
2024-11-09,349
2024-11-10,266
2024-11-11,568
2024-11-12,18498
2024-11-13,3911
2024-11-14,1350
2024-11-15,967
2024-11-16,660
2024-11-17,501
2024-11-18,808
2024-11-19,810
2024-11-20,751
2024-11-21,6242
2024-11-22,16939
2024-11-23,1244
2024-11-24,3634
2024-11-25,1221
2024-11-26,1054
2024-11-27,874
2024-11-28,18333
2024-11-29,4336
2024-11-30,1169
2024-12-01,777
2024-12-02,1287
2024-12-03,1212
2024-12-04,1376
2024-12-05,1271
2024-12-06,609
2024-12-07,511
2024-12-08,286
2024-12-09,606
2024-12-10,572
2024-12-11,542
2024-12-12,597
2024-12-13,461
2024-12-14,290
2024-12-15,213
2024-12-16,452
2024-12-17,490
2024-12-18,600
2024-12-19,508
2024-12-20,351
2024-12-21,211
2024-12-22,187
2024-12-23,490
2024-12-24,2342
2024-12-25,277
2024-12-26,320
2024-12-27,303
2024-12-28,167
2024-12-29,147
2024-12-30,243
2024-12-31,191
2025-01-01,144
2025-01-02,248
2025-01-03,279
2025-01-04,219
2025-01-05,214
2025-01-06,416
2025-01-07,352
2025-01-08,417
2025-01-09,425
2025-01-10,380
2025-01-11,188
2025-01-12,166
2025-01-13,316
2025-01-14,438
2025-01-15,375
2025-01-16,20174
2025-01-17,4713
2025-01-18,1452
2025-01-19,587
2025-01-20,1178
2025-01-21,928
2025-01-22,828
2025-01-23,787
2025-01-24,627
2025-01-25,473
2025-01-26,333
2025-01-27,650
2025-01-28,635
2025-01-29,591
2025-01-30,615
2025-01-31,544
2025-02-01,352
2025-02-02,287
2025-02-03,543
2025-02-04,564
2025-02-05,8890
2025-02-06,15033
2025-02-07,1686
2025-02-08,672
2025-02-09,560
2025-02-10,1087
2025-02-11,858
2025-02-12,1134
2025-02-13,984
2025-02-14,760
2025-02-15,533
2025-02-16,311
2025-02-17,1530
2025-02-18,738
2025-02-19,952
2025-02-20,1045
2025-02-21,1092
2025-02-22,725
2025-02-23,269
2025-02-24,465
2025-02-25,3127
2025-02-26,560
2025-02-27,453
2025-02-28,573
2025-03-01,345
2025-03-02,269
2025-03-03,505
2025-03-04,431
2025-03-05,461
2025-03-06,419
2025-03-07,392
2025-03-08,230
2025-03-09,230
2025-03-10,395
2025-03-11,382
2025-03-12,352
2025-03-13,362
2025-03-14,349
2025-03-15,219
2025-03-16,198
2025-03-17,336
2025-03-18,353
2025-03-19,293
2025-03-20,293
2025-03-21,284
2025-03-22,177
2025-03-23,196
2025-03-24,284
2025-03-25,354
2025-03-26,326
2025-03-27,310
2025-03-28,293
2025-03-29,192
2025-03-30,171
2025-03-31,276
2025-04-01,307
2025-04-02,338
2025-04-03,273
2025-04-04,288
2025-04-05,167
2025-04-06,163
2025-04-07,344
2025-04-08,270
2025-04-09,272
2025-04-10,263
2025-04-11,245
2025-04-12,159
2025-04-13,170
2025-04-14,279
2025-04-15,313
2025-04-16,28740
2025-04-17,5031
2025-04-18,1257
2025-04-19,648
2025-04-20,517
2025-04-21,959
