Date,Downloads
2024-08-29,14
2024-08-30,10
2024-08-31,7
2024-09-01,5
2024-09-02,6
2024-09-03,11
2024-09-04,5
2024-09-05,11
2024-09-06,6
2024-09-07,5
2024-09-08,3
2024-09-09,5
2024-09-10,6
2024-09-11,6
2024-09-12,5
2024-09-13,4
2024-09-14,4
2024-09-15,3
2024-09-16,10
2024-09-17,9
2024-09-18,7
2024-09-19,14
2024-09-20,9
2024-09-21,3
2024-09-22,4
2024-09-23,8
2024-09-24,3
2024-09-25,6
2024-09-26,18
2024-09-27,6
2024-09-28,2
2024-09-29,8
2024-09-30,7
2024-10-01,11
2024-10-02,12
2024-10-03,13
2024-10-04,11
2024-10-05,5
2024-10-06,6
2024-10-07,12
2024-10-08,12
2024-10-09,18
2024-10-10,13
2024-10-11,19
2024-10-12,8
2024-10-13,6
2024-10-14,14
2024-10-15,14
2024-10-16,13
2024-10-17,9
2024-10-18,10
2024-10-19,4
2024-10-20,8
2024-10-21,6
