Date,Downloads
2024-08-29,477
2024-08-30,489
2024-08-31,270
2024-09-01,278
2024-09-02,461
2024-09-03,502
2024-09-04,518
2024-09-05,532
2024-09-06,354
2024-09-07,263
2024-09-08,249
2024-09-09,426
2024-09-10,1298
2024-09-11,1525
2024-09-12,457
2024-09-13,392
2024-09-14,255
2024-09-15,262
2024-09-16,356
2024-09-17,391
2024-09-18,348
2024-09-19,368
2024-09-20,315
2024-09-21,216
2024-09-22,231
2024-09-23,366
2024-09-24,381
2024-09-25,340
2024-09-26,436
2024-09-27,326
2024-09-28,245
2024-09-29,241
2024-09-30,349
2024-10-01,354
2024-10-02,324
2024-10-03,336
2024-10-04,296
2024-10-05,207
2024-10-06,219
2024-10-07,335
2024-10-08,337
2024-10-09,382
2024-10-10,277
2024-10-11,283
2024-10-12,243
2024-10-13,235
2024-10-14,350
2024-10-15,326
2024-10-16,349
2024-10-17,335
2024-10-18,280
2024-10-19,243
2024-10-20,215
2024-10-21,252
2024-10-22,292
2024-10-23,323
2024-10-24,305
2024-10-25,248
2024-10-26,182
2024-10-27,180
2024-10-28,332
2024-10-29,8621
2024-10-30,8043
2024-10-31,1219
2024-11-01,881
2024-11-02,613
2024-11-03,540
2024-11-04,975
2024-11-05,839
2024-11-06,789
2024-11-07,682
2024-11-08,572
2024-11-09,543
2024-11-10,412
2024-11-11,9487
2024-11-12,7747
2024-11-13,1608
2024-11-14,1231
2024-11-15,932
2024-11-16,557
2024-11-17,526
2024-11-18,8581
2024-11-19,8638
2024-11-20,1389
2024-11-21,1100
2024-11-22,3403
2024-11-23,1094
2024-11-24,486
2024-11-25,792
2024-11-26,746
2024-11-27,597
2024-11-28,530
2024-11-29,494
2024-11-30,344
2024-12-01,378
2024-12-02,565
2024-12-03,815
2024-12-04,512
2024-12-05,433
2024-12-06,399
2024-12-07,259
2024-12-08,309
2024-12-09,455
2024-12-10,435
2024-12-11,435
2024-12-12,437
2024-12-13,542
2024-12-14,256
2024-12-15,254
2024-12-16,398
2024-12-17,387
2024-12-18,469
2024-12-19,412
2024-12-20,350
2024-12-21,214
2024-12-22,436
2024-12-23,360
2024-12-24,260
2024-12-25,241
2024-12-26,291
2024-12-27,312
2024-12-28,317
2024-12-29,273
2024-12-30,336
2024-12-31,283
2025-01-01,239
2025-01-02,330
2025-01-03,340
2025-01-04,256
2025-01-05,273
2025-01-06,8385
2025-01-07,8082
2025-01-08,1419
2025-01-09,1013
2025-01-10,12764
2025-01-11,3466
2025-01-12,891
2025-01-13,1463
2025-01-14,1469
2025-01-15,935
2025-01-16,876
2025-01-17,766
2025-01-18,492
2025-01-19,462
2025-01-20,687
2025-01-21,616
2025-01-22,608
2025-01-23,12672
2025-01-24,4111
2025-01-25,934
2025-01-26,729
2025-01-27,1220
2025-01-28,998
2025-01-29,793
2025-01-30,783
2025-01-31,729
2025-02-01,494
2025-02-02,420
2025-02-03,718
2025-02-04,639
2025-02-05,637
2025-02-06,544
2025-02-07,9971
2025-02-08,6277
2025-02-09,944
2025-02-10,1671
2025-02-11,1296
2025-02-12,1151
2025-02-13,855
2025-02-14,691
2025-02-15,954
2025-02-16,404
2025-02-17,2885
2025-02-18,700
2025-02-19,636
2025-02-20,622
2025-02-21,557
2025-02-22,369
2025-02-23,344
2025-02-24,538
2025-02-25,565
2025-02-26,464
2025-02-27,470
2025-02-28,467
2025-03-01,349
2025-03-02,302
2025-03-03,514
2025-03-04,446
2025-03-05,477
2025-03-06,512
2025-03-07,380
2025-03-08,345
2025-03-09,275
2025-03-10,410
2025-03-11,424
2025-03-12,375
2025-03-13,411
2025-03-14,364
2025-03-15,228
2025-03-16,244
2025-03-17,389
2025-03-18,377
2025-03-19,338
2025-03-20,344
2025-03-21,305
2025-03-22,245
2025-03-23,251
2025-03-24,335
2025-03-25,425
2025-03-26,345
2025-03-27,354
2025-03-28,319
2025-03-29,413
2025-03-30,201
2025-03-31,314
2025-04-01,338
2025-04-02,302
2025-04-03,364
2025-04-04,291
2025-04-05,210
2025-04-06,224
2025-04-07,12638
2025-04-08,4415
2025-04-09,1198
2025-04-10,942
2025-04-11,1242
2025-04-12,503
2025-04-13,524
2025-04-14,879
2025-04-15,902
2025-04-16,2985
2025-04-17,592
2025-04-18,485
2025-04-19,350
2025-04-20,295
2025-04-21,483
2025-04-22,644
2025-04-23,735
2025-04-24,506
2025-04-25,456
2025-04-26,458
2025-04-27,273
2025-04-28,509
2025-04-29,445
2025-04-30,455
2025-05-01,365
2025-05-02,383
2025-05-03,232
2025-05-04,256
2025-05-05,399
2025-05-06,393
2025-05-07,473
2025-05-08,12973
2025-05-09,4011
2025-05-10,713
2025-05-11,701
2025-05-12,1147
2025-05-13,1106
2025-05-14,820
2025-05-15,714
2025-05-16,640
2025-05-17,355
2025-05-18,345
2025-05-19,685
2025-05-20,587
2025-05-21,536
2025-05-22,541
2025-05-23,12904
2025-05-24,3778
2025-05-25,772
2025-05-26,1179
2025-05-27,1186
