Total Downloads,Date,Today's Downloads
4115086,2024-08-30,0
4119217,2024-08-31,4131
4122701,2024-09-01,3484
4124118,2024-09-02,1417
4125764,2024-09-03,1646
4127208,2024-09-04,1444
4128462,2024-09-05,1254
4129717,2024-09-06,1255
4130725,2024-09-07,1008
4131392,2024-09-08,667
4132100,2024-09-09,708
4133206,2024-09-10,1106
4134296,2024-09-11,1090
4135382,2024-09-12,1086
4136472,2024-09-13,1090
4137340,2024-09-14,868
4137991,2024-09-15,651
4138603,2024-09-16,612
4139422,2024-09-17,819
4140301,2024-09-18,879
