product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390937
disable-admin-notices,89582
optimole-wp,70997
robin-image-optimizer,55554
otter-blocks,34472
remove-category-url,33069
cyrlitera,28937
neve,28218
cyr-and-lat,18239
templates-patterns-collection,15818
feedzy-rss-feeds,10442
wp-full-stripe-free,10333
themeisle-companion,8635
wp-maintenance-mode,8463
menu-icons,8127
wp-cloudflare-page-cache,7984
hyve-lite,7405
instagram-slider-widget,5205
visualizer,2952
multiple-pages-generator-by-porthas,2882
wpcf7-redirect,2545
insert-php,2068
hestia,1992
tweet-old-post,1436
anti-spam,1104
media-library-organizer,616
intergeo-maps,536
shop-isle,495
neve-fse,381
raft,260
non-profit-fse,132
riverbank,104
fork,65
church-fse,62
jaxon,54
eduacademy,21
lmscourse-fse,19
