Total Downloads,Date,Today's Downloads
88781,2024-08-30,0
88866,2024-08-31,85
88934,2024-09-01,68
88997,2024-09-02,63
89081,2024-09-03,84
89181,2024-09-04,100
89265,2024-09-05,84
89355,2024-09-06,90
89415,2024-09-07,60
89452,2024-09-08,37
89506,2024-09-09,54
89575,2024-09-10,69
89661,2024-09-11,86
89745,2024-09-12,84
89858,2024-09-13,113
89953,2024-09-14,95
89996,2024-09-15,43
90047,2024-09-16,51
90105,2024-09-17,58
90154,2024-09-18,49
90215,2024-09-19,61
90282,2024-09-20,67
90336,2024-09-21,54
90387,2024-09-22,51
90442,2024-09-23,55
90499,2024-09-24,57
90554,2024-09-25,55
90610,2024-09-26,56
90665,2024-09-27,55
90719,2024-09-28,54
90761,2024-09-29,42
90815,2024-09-30,54
90878,2024-10-01,63
90939,2024-10-02,61
91010,2024-10-03,71
91071,2024-10-04,61
91114,2024-10-05,43
91145,2024-10-06,31
91192,2024-10-07,47
91263,2024-10-08,71
91352,2024-10-09,89
91427,2024-10-10,75
91485,2024-10-11,58
91524,2024-10-12,39
91565,2024-10-13,41
91620,2024-10-14,55
91689,2024-10-15,69
91738,2024-10-16,49
91789,2024-10-17,51
91849,2024-10-18,60
91910,2024-10-19,61
91945,2024-10-20,35
91990,2024-10-21,45
92051,2024-10-22,61
92130,2024-10-23,79
92204,2024-10-24,74
92278,2024-10-25,74
92323,2024-10-26,45
92362,2024-10-27,39
92400,2024-10-28,38
92459,2024-10-29,59
92531,2024-10-30,72
92580,2024-10-31,49
92622,2024-11-01,42
92659,2024-11-02,37
92707,2024-11-03,48
92741,2024-11-04,34
92794,2024-11-05,53
92850,2024-11-06,56
92900,2024-11-07,50
92963,2024-11-08,63
94161,2024-11-09,1198
94551,2024-11-10,390
