Date,Downloads
2024-08-29,166
2024-08-30,164
2024-08-31,72
2024-09-01,64
2024-09-02,137
2024-09-03,206
2024-09-04,173
2024-09-05,169
2024-09-06,165
2024-09-07,66
2024-09-08,73
2024-09-09,168
2024-09-10,332
2024-09-11,285
2024-09-12,168
2024-09-13,123
2024-09-14,78
2024-09-15,75
2024-09-16,142
2024-09-17,167
2024-09-18,167
2024-09-19,172
2024-09-20,159
2024-09-21,74
2024-09-22,80
2024-09-23,203
2024-09-24,167
2024-09-25,152
2024-09-26,153
2024-09-27,144
2024-09-28,85
2024-09-29,84
2024-09-30,164
2024-10-01,195
2024-10-02,190
2024-10-03,209
2024-10-04,191
2024-10-05,83
2024-10-06,92
2024-10-07,160
2024-10-08,181
2024-10-09,176
2024-10-10,168
2024-10-11,137
2024-10-12,86
2024-10-13,98
2024-10-14,241
