Date,Downloads
2024-08-29,635
2024-08-30,541
2024-08-31,398
2024-09-01,363
2024-09-02,577
2024-09-03,654
2024-09-04,702
2024-09-05,702
2024-09-06,536
2024-09-07,319
2024-09-08,377
2024-09-09,694
2024-09-10,625
2024-09-11,576
2024-09-12,607
2024-09-13,481
2024-09-14,318
2024-09-15,325
2024-09-16,504
2024-09-17,531
2024-09-18,532
2024-09-19,532
2024-09-20,485
2024-09-21,311
2024-09-22,322
2024-09-23,557
2024-09-24,585
2024-09-25,556
2024-09-26,522
2024-09-27,472
2024-09-28,264
2024-09-29,328
2024-09-30,667
2024-10-01,542
2024-10-02,506
2024-10-03,522
2024-10-04,455
2024-10-05,324
2024-10-06,316
2024-10-07,568
2024-10-08,741
2024-10-09,677
2024-10-10,519
2024-10-11,652
2024-10-12,314
2024-10-13,348
2024-10-14,497
2024-10-15,538
2024-10-16,485
2024-10-17,466
2024-10-18,454
2024-10-19,314
2024-10-20,295
2024-10-21,436
2024-10-22,495
2024-10-23,432
2024-10-24,421
2024-10-25,416
2024-10-26,270
2024-10-27,278
2024-10-28,442
2024-10-29,465
2024-10-30,509
2024-10-31,457
2024-11-01,360
2024-11-02,281
2024-11-03,288
2024-11-04,447
2024-11-05,454
2024-11-06,421
2024-11-07,845
2024-11-08,42115
2024-11-09,2938
2024-11-10,2020
2024-11-11,3040
2024-11-12,2705
2024-11-13,2898
2024-11-14,2313
2024-11-15,1939
2024-11-16,942
2024-11-17,958
2024-11-18,1757
2024-11-19,1789
2024-11-20,1473
2024-11-21,1405
2024-11-22,6066
2024-11-23,971
2024-11-24,749
2024-11-25,1287
2024-11-26,1339
2024-11-27,1149
2024-11-28,1007
2024-11-29,910
2024-11-30,597
2024-12-01,669
2024-12-02,1107
2024-12-03,1049
2024-12-04,965
2024-12-05,941
2024-12-06,894
2024-12-07,524
2024-12-08,494
2024-12-09,837
2024-12-10,873
2024-12-11,848
2024-12-12,778
2024-12-13,730
2024-12-14,428
2024-12-15,472
2024-12-16,808
2024-12-17,757
2024-12-18,722
2024-12-19,761
2024-12-20,641
2024-12-21,445
2024-12-22,438
2024-12-23,518
2024-12-24,452
2024-12-25,422
2024-12-26,491
2024-12-27,497
2024-12-28,411
2024-12-29,392
2024-12-30,709
2024-12-31,613
2025-01-01,403
2025-01-02,560
2025-01-03,545
2025-01-04,375
2025-01-05,384
2025-01-06,607
2025-01-07,706
2025-01-08,664
2025-01-09,660
2025-01-10,525
2025-01-11,387
2025-01-12,381
2025-01-13,665
2025-01-14,657
2025-01-15,615
2025-01-16,725
2025-01-17,531
2025-01-18,356
2025-01-19,346
2025-01-20,563
2025-01-21,597
2025-01-22,533
2025-01-23,557
2025-01-24,481
2025-01-25,389
2025-01-26,336
2025-01-27,564
2025-01-28,539
2025-01-29,563
2025-01-30,525
2025-01-31,480
2025-02-01,348
2025-02-02,339
2025-02-03,550
2025-02-04,525
2025-02-05,608
2025-02-06,525
2025-02-07,536
2025-02-08,381
2025-02-09,393
2025-02-10,561
