Date,Downloads
2024-08-29,229
2024-08-30,77
2024-08-31,53
2024-09-01,53
2024-09-02,70
2024-09-03,61
2024-09-04,53
2024-09-05,50
2024-09-06,47
2024-09-07,34
2024-09-08,26
2024-09-09,49
2024-09-10,149
2024-09-11,104
2024-09-12,50
2024-09-13,60
2024-09-14,30
2024-09-15,28
2024-09-16,47
2024-09-17,46
2024-09-18,37
2024-09-19,47
2024-09-20,34
2024-09-21,25
2024-09-22,36
2024-09-23,45
2024-09-24,57
2024-09-25,46
2024-09-26,82
2024-09-27,36
2024-09-28,20
2024-09-29,27
2024-09-30,52
2024-10-01,42
2024-10-02,39
2024-10-03,117
2024-10-04,47
2024-10-05,35
2024-10-06,38
2024-10-07,63
2024-10-08,65
2024-10-09,56
2024-10-10,45
2024-10-11,41
2024-10-12,28
2024-10-13,40
2024-10-14,62
2024-10-15,56
2024-10-16,43
2024-10-17,43
2024-10-18,49
2024-10-19,26
2024-10-20,22
2024-10-21,818
2024-10-22,341
2024-10-23,102
2024-10-24,867
2024-10-25,317
2024-10-26,69
2024-10-27,53
2024-10-28,100
2024-10-29,85
2024-10-30,783
2024-10-31,407
2024-11-01,151
2024-11-02,60
2024-11-03,53
2024-11-04,79
2024-11-05,74
2024-11-06,566
2024-11-07,608
2024-11-08,94
2024-11-09,56
2024-11-10,45
2024-11-11,82
2024-11-12,85
2024-11-13,150
2024-11-14,71
2024-11-15,51
2024-11-16,40
2024-11-17,36
2024-11-18,58
2024-11-19,812
2024-11-20,887
2024-11-21,111
2024-11-22,267
2024-11-23,48
2024-11-24,69
2024-11-25,53
2024-11-26,60
2024-11-27,55
2024-11-28,43
2024-11-29,47
2024-11-30,32
2024-12-01,39
2024-12-02,32
2024-12-03,65
2024-12-04,50
2024-12-05,41
2024-12-06,32
2024-12-07,20
2024-12-08,29
2024-12-09,47
2024-12-10,786
2024-12-11,310
2024-12-12,85
2024-12-13,55
2024-12-14,45
2024-12-15,43
2024-12-16,65
2024-12-17,74
2024-12-18,54
2024-12-19,50
