Total Downloads,Date,Today's Downloads
4948046,2024-08-30,0
4949965,2024-08-31,1919
4951443,2024-09-01,1478
4952881,2024-09-02,1438
4955033,2024-09-03,2152
4957190,2024-09-04,2157
4959245,2024-09-05,2055
4961322,2024-09-06,2077
4963093,2024-09-07,1771
4964475,2024-09-08,1382
4965879,2024-09-09,1404
4967878,2024-09-10,1999
4969908,2024-09-11,2030
4971955,2024-09-12,2047
4973931,2024-09-13,1976
4975596,2024-09-14,1665
4976995,2024-09-15,1399
4978314,2024-09-16,1319
4980030,2024-09-17,1716
4981800,2024-09-18,1770
4983555,2024-09-19,1755
4985327,2024-09-20,1772
4986920,2024-09-21,1593
4988119,2024-09-22,1199
4989331,2024-09-23,1212
4991129,2024-09-24,1798
4992887,2024-09-25,1758
4994605,2024-09-26,1718
