Date,Downloads
2024-08-29,12760
2024-08-30,4990
2024-08-31,3100
2024-09-01,2954
2024-09-02,4547
2024-09-03,4188
2024-09-04,3768
2024-09-05,3610
2024-09-06,2864
2024-09-07,1928
2024-09-08,1998
2024-09-09,3246
2024-09-10,53322
2024-09-11,28716
2024-09-12,3702
2024-09-13,3152
2024-09-14,1678
2024-09-15,1674
2024-09-16,2312
2024-09-17,2489
2024-09-18,2382
2024-09-19,2296
2024-09-20,2011
2024-09-21,1416
2024-09-22,1508
2024-09-23,2204
2024-09-24,2221
2024-09-25,2229
2024-09-26,2077
2024-09-27,1928
2024-09-28,1387
2024-09-29,1328
2024-09-30,2098
2024-10-01,2048
2024-10-02,1971
2024-10-03,1929
2024-10-04,1749
2024-10-05,1385
2024-10-06,1305
2024-10-07,1958
2024-10-08,52731
2024-10-09,41286
2024-10-10,6199
2024-10-11,4462
2024-10-12,3103
2024-10-13,2963
2024-10-14,4456
2024-10-15,4178
2024-10-16,3751
2024-10-17,3575
2024-10-18,2910
2024-10-19,2129
2024-10-20,2160
2024-10-21,3385
2024-10-22,3089
2024-10-23,2965
2024-10-24,2869
2024-10-25,2450
2024-10-26,1730
2024-10-27,1774
2024-10-28,2791
2024-10-29,2747
2024-10-30,76493
2024-10-31,19553
2024-11-01,5592
2024-11-02,6316
2024-11-03,2956
2024-11-04,5069
2024-11-05,4409
2024-11-06,3753
2024-11-07,3497
2024-11-08,3470
2024-11-09,2049
2024-11-10,2089
2024-11-11,3272
2024-11-12,80266
2024-11-13,18469
2024-11-14,6447
2024-11-15,4609
2024-11-16,2817
2024-11-17,2890
2024-11-18,4377
2024-11-19,4281
2024-11-20,3580
2024-11-21,32874
2024-11-22,142424
2024-11-23,8472
2024-11-24,3675
2024-11-25,5343
2024-11-26,4651
2024-11-27,4347
2024-11-28,77857
2024-11-29,20885
2024-11-30,4051
2024-12-01,3714
2024-12-02,5519
2024-12-03,4690
2024-12-04,4025
2024-12-05,3619
2024-12-06,3154
2024-12-07,2184
2024-12-08,1969
2024-12-09,3345
2024-12-10,3356
2024-12-11,3058
2024-12-12,2775
2024-12-13,3398
2024-12-14,1861
2024-12-15,1829
2024-12-16,2916
2024-12-17,3122
2024-12-18,3101
2024-12-19,2579
2024-12-20,2136
2024-12-21,1553
2024-12-22,1599
2024-12-23,2091
2024-12-24,1682
2024-12-25,1429
2024-12-26,1778
2024-12-27,1840
2024-12-28,1594
2024-12-29,1665
2024-12-30,1968
2024-12-31,1614
2025-01-01,1445
2025-01-02,2131
2025-01-03,2101
2025-01-04,1693
2025-01-05,1643
2025-01-06,2350
2025-01-07,2399
2025-01-08,2377
2025-01-09,2347
2025-01-10,2076
2025-01-11,1627
2025-01-12,1562
2025-01-13,2278
2025-01-14,2219
2025-01-15,2233
2025-01-16,77264
2025-01-17,19551
2025-01-18,4071
2025-01-19,3494
2025-01-20,5579
2025-01-21,4551
2025-01-22,4042
2025-01-23,3820
2025-01-24,3482
2025-01-25,2404
2025-01-26,2312
2025-01-27,3546
2025-01-28,3237
2025-01-29,3194
2025-01-30,3021
2025-01-31,2900
2025-02-01,2255
2025-02-02,2043
2025-02-03,3067
2025-02-04,2948
2025-02-05,42875
2025-02-06,53947
2025-02-07,6114
2025-02-08,3572
2025-02-09,3360
2025-02-10,5154
2025-02-11,4554
2025-02-12,4526
2025-02-13,4109
2025-02-14,3169
2025-02-15,2325
2025-02-16,2286
2025-02-17,76570
2025-02-18,6439
2025-02-19,2994
2025-02-20,2760
2025-02-21,2477
2025-02-22,1780
2025-02-23,1746
2025-02-24,2550
2025-02-25,2566
2025-02-26,2549
2025-02-27,2514
2025-02-28,2194
2025-03-01,1675
2025-03-02,1568
2025-03-03,2402
2025-03-04,2407
2025-03-05,2317
2025-03-06,2261
2025-03-07,1909
2025-03-08,1450
2025-03-09,1475
2025-03-10,2171
2025-03-11,2245
2025-03-12,2092
2025-03-13,2181
2025-03-14,1867
2025-03-15,1409
2025-03-16,1447
2025-03-17,2138
2025-03-18,2147
2025-03-19,2132
2025-03-20,1863
2025-03-21,1749
2025-03-22,1370
2025-03-23,1373
2025-03-24,1899
2025-03-25,1980
2025-03-26,1800
2025-03-27,1805
