Total Downloads,Date,Today's Downloads
71894,2024-08-30,0
71997,2024-08-31,103
72072,2024-09-01,75
72154,2024-09-02,82
72245,2024-09-03,91
72333,2024-09-04,88
72414,2024-09-05,81
72500,2024-09-06,86
72582,2024-09-07,82
72628,2024-09-08,46
72684,2024-09-09,56
72789,2024-09-10,105
72870,2024-09-11,81
72938,2024-09-12,68
73054,2024-09-13,116
73140,2024-09-14,86
73187,2024-09-15,47
73246,2024-09-16,59
73316,2024-09-17,70
73372,2024-09-18,56
73439,2024-09-19,67
73506,2024-09-20,67
73564,2024-09-21,58
73597,2024-09-22,33
73652,2024-09-23,55
73717,2024-09-24,65
73777,2024-09-25,60
73842,2024-09-26,65
73905,2024-09-27,63
