Date,Downloads
2024-08-29,791
2024-08-30,751
2024-08-31,554
2024-09-01,591
2024-09-02,774
2024-09-03,853
2024-09-04,891
2024-09-05,801
2024-09-06,705
2024-09-07,571
2024-09-08,572
2024-09-09,827
2024-09-10,887
2024-09-11,773
2024-09-12,843
2024-09-13,720
2024-09-14,555
2024-09-15,529
2024-09-16,784
2024-09-17,789
2024-09-18,807
2024-09-19,778
2024-09-20,664
2024-09-21,500
2024-09-22,559
2024-09-23,774
2024-09-24,752
2024-09-25,31865
2024-09-26,11821
2024-09-27,2002
2024-09-28,1263
2024-09-29,1376
2024-09-30,1698
2024-10-01,1535
2024-10-02,1362
2024-10-03,1269
2024-10-04,1153
2024-10-05,879
2024-10-06,857
2024-10-07,1276
2024-10-08,1335
2024-10-09,1274
2024-10-10,1022
2024-10-11,1064
2024-10-12,802
2024-10-13,849
2024-10-14,1114
2024-10-15,1115
2024-10-16,1121
2024-10-17,1040
2024-10-18,876
2024-10-19,779
2024-10-20,749
2024-10-21,1023
2024-10-22,1003
