Date,Downloads
2024-08-29,1561
2024-08-30,1432
2024-08-31,1046
2024-09-01,1093
2024-09-02,1534
2024-09-03,1578
2024-09-04,1438
2024-09-05,1360
2024-09-06,1131
2024-09-07,846
2024-09-08,921
2024-09-09,1353
2024-09-10,5440
2024-09-11,3469
2024-09-12,1296
2024-09-13,1159
2024-09-14,803
2024-09-15,827
2024-09-16,1067
2024-09-17,1097
2024-09-18,1020
2024-09-19,1010
2024-09-20,887
2024-09-21,707
2024-09-22,800
2024-09-23,1078
2024-09-24,1066
2024-09-25,956
2024-09-26,932
2024-09-27,882
2024-09-28,675
2024-09-29,737
2024-09-30,975
2024-10-01,1023
2024-10-02,999
2024-10-03,927
2024-10-04,876
2024-10-05,672
