Date,Downloads
2024-08-29,233
2024-08-30,6984
2024-08-31,1642
2024-09-01,455
2024-09-02,724
2024-09-03,633
2024-09-04,523
2024-09-05,504
2024-09-06,356
2024-09-07,184
2024-09-08,191
2024-09-09,410
2024-09-10,1015
2024-09-11,700
2024-09-12,412
2024-09-13,317
2024-09-14,131
2024-09-15,144
2024-09-16,294
2024-09-17,286
2024-09-18,275
2024-09-19,265
2024-09-20,254
2024-09-21,134
2024-09-22,146
2024-09-23,259
2024-09-24,246
2024-09-25,268
2024-09-26,270
2024-09-27,221
2024-09-28,111
2024-09-29,106
2024-09-30,304
2024-10-01,282
2024-10-02,233
2024-10-03,214
2024-10-04,194
2024-10-05,154
2024-10-06,121
2024-10-07,233
2024-10-08,272
2024-10-09,232
2024-10-10,186
2024-10-11,165
2024-10-12,132
2024-10-13,121
2024-10-14,200
2024-10-15,217
2024-10-16,200
2024-10-17,188
2024-10-18,182
2024-10-19,139
2024-10-20,105
2024-10-21,208
2024-10-22,195
2024-10-23,173
2024-10-24,173
2024-10-25,145
2024-10-26,107
2024-10-27,88
2024-10-28,173
2024-10-29,215
2024-10-30,172
2024-10-31,155
2024-11-01,124
2024-11-02,73
2024-11-03,91
2024-11-04,158
2024-11-05,164
2024-11-06,183
2024-11-07,5867
2024-11-08,2619
2024-11-09,350
2024-11-10,280
2024-11-11,529
2024-11-12,487
2024-11-13,6780
2024-11-14,2106
2024-11-15,611
2024-11-16,302
2024-11-17,240
2024-11-18,539
2024-11-19,491
2024-11-20,359
2024-11-21,345
2024-11-22,1220
2024-11-23,223
2024-11-24,225
2024-11-25,309
2024-11-26,342
2024-11-27,269
2024-11-28,232
2024-11-29,234
2024-11-30,154
2024-12-01,161
2024-12-02,301
2024-12-03,303
2024-12-04,238
2024-12-05,272
2024-12-06,210
2024-12-07,137
2024-12-08,116
2024-12-09,217
2024-12-10,207
2024-12-11,213
2024-12-12,210
2024-12-13,155
2024-12-14,105
2024-12-15,119
2024-12-16,201
2024-12-17,218
2024-12-18,205
2024-12-19,203
2024-12-20,195
2024-12-21,111
2024-12-22,118
2024-12-23,168
2024-12-24,114
2024-12-25,90
2024-12-26,122
2024-12-27,108
2024-12-28,91
2024-12-29,100
2024-12-30,146
2024-12-31,127
2025-01-01,110
2025-01-02,138
2025-01-03,158
2025-01-04,125
2025-01-05,118
2025-01-06,170
2025-01-07,171
2025-01-08,172
2025-01-09,193
2025-01-10,138
2025-01-11,108
2025-01-12,78
2025-01-13,208
