Date,Downloads
2024-08-29,1532
2024-08-30,1266
2024-08-31,864
2024-09-01,881
2024-09-02,1449
2024-09-03,1586
2024-09-04,1442
2024-09-05,1549
2024-09-06,1433
2024-09-07,803
2024-09-08,836
2024-09-09,1512
2024-09-10,1524
2024-09-11,1475
2024-09-12,1424
2024-09-13,1421
2024-09-14,813
2024-09-15,802
2024-09-16,1397
2024-09-17,135856
2024-09-18,28941
2024-09-19,8846
2024-09-20,6544
2024-09-21,3509
2024-09-22,4083
2024-09-23,6912
2024-09-24,5674
2024-09-25,5322
2024-09-26,4496
2024-09-27,4102
2024-09-28,2633
2024-09-29,2585
2024-09-30,5327
2024-10-01,4782
2024-10-02,4296
2024-10-03,3600
2024-10-04,3349
2024-10-05,2170
2024-10-06,2164
2024-10-07,3925
2024-10-08,4439
2024-10-09,3732
2024-10-10,3164
2024-10-11,2724
2024-10-12,1841
2024-10-13,1893
2024-10-14,107549
