Date,Downloads
2024-08-29,2065
2024-08-30,1829
2024-08-31,768
2024-09-01,806
2024-09-02,2326
2024-09-03,2129
2024-09-04,1947
2024-09-05,1885
2024-09-06,1492
2024-09-07,584
2024-09-08,629
2024-09-09,1692
2024-09-10,8328
2024-09-11,5579
2024-09-12,1558
2024-09-13,1346
2024-09-14,555
2024-09-15,455
2024-09-16,1327
2024-09-17,1268
2024-09-18,1269
2024-09-19,1302
2024-09-20,1106
2024-09-21,442
2024-09-22,472
2024-09-23,1293
2024-09-24,1292
2024-09-25,1241
2024-09-26,1140
2024-09-27,956
2024-09-28,414
2024-09-29,487
2024-09-30,1319
2024-10-01,1197
2024-10-02,1047
2024-10-03,1041
2024-10-04,894
2024-10-05,419
2024-10-06,419
2024-10-07,1102
2024-10-08,1844
2024-10-09,1601
2024-10-10,943
2024-10-11,848
2024-10-12,427
2024-10-13,416
2024-10-14,966
2024-10-15,1087
2024-10-16,1054
2024-10-17,984
2024-10-18,814
2024-10-19,424
2024-10-20,354
2024-10-21,909
2024-10-22,920
2024-10-23,957
2024-10-24,868
2024-10-25,768
2024-10-26,353
2024-10-27,336
2024-10-28,805
2024-10-29,906
2024-10-30,894
2024-10-31,701
2024-11-01,569
2024-11-02,320
2024-11-03,339
2024-11-04,868
2024-11-05,825
2024-11-06,857
2024-11-07,854
2024-11-08,687
2024-11-09,357
2024-11-10,347
2024-11-11,37182
2024-11-12,25563
2024-11-13,6427
2024-11-14,5285
2024-11-15,3657
2024-11-16,1429
2024-11-17,1704
2024-11-18,4044
2024-11-19,3373
2024-11-20,2846
2024-11-21,2452
2024-11-22,15025
2024-11-23,1626
2024-11-24,865
2024-11-25,2542
2024-11-26,2265
2024-11-27,1960
2024-11-28,1878
2024-11-29,1550
2024-11-30,738
2024-12-01,745
2024-12-02,2266
2024-12-03,2033
2024-12-04,1890
2024-12-05,1628
2024-12-06,1331
2024-12-07,578
2024-12-08,578
2024-12-09,1600
2024-12-10,1598
2024-12-11,1443
2024-12-12,1418
2024-12-13,1172
2024-12-14,512
2024-12-15,550
2024-12-16,1377
2024-12-17,1415
2024-12-18,1226
2024-12-19,1162
2024-12-20,971
2024-12-21,459
2024-12-22,452
2024-12-23,956
2024-12-24,673
2024-12-25,450
2024-12-26,704
2024-12-27,737
2024-12-28,470
2024-12-29,423
2024-12-30,858
2024-12-31,815
2025-01-01,440
2025-01-02,855
2025-01-03,881
2025-01-04,505
2025-01-05,446
2025-01-06,1033
2025-01-07,1175
2025-01-08,1117
2025-01-09,1110
2025-01-10,38999
2025-01-11,18785
2025-01-12,3044
2025-01-13,7067
2025-01-14,4925
2025-01-15,4238
2025-01-16,3706
2025-01-17,2950
2025-01-18,1151
2025-01-19,1213
2025-01-20,3187
2025-01-21,2855
2025-01-22,2580
2025-01-23,2367
2025-01-24,1997
2025-01-25,837
2025-01-26,876
2025-01-27,2429
2025-01-28,2117
2025-01-29,2088
2025-01-30,1888
2025-01-31,1776
2025-02-01,971
2025-02-02,778
2025-02-03,2162
2025-02-04,2065
2025-02-05,1853
2025-02-06,1694
2025-02-07,1593
2025-02-08,744
2025-02-09,754
2025-02-10,1728
2025-02-11,1671
2025-02-12,1774
2025-02-13,1581
2025-02-14,1198
2025-02-15,590
2025-02-16,561
2025-02-17,12579
2025-02-18,1921
2025-02-19,1277
2025-02-20,1280
2025-02-21,1160
2025-02-22,525
2025-02-23,479
2025-02-24,1307
2025-02-25,1209
2025-02-26,1096
2025-02-27,1186
2025-02-28,968
2025-03-01,572
2025-03-02,480
2025-03-03,1066
2025-03-04,1097
2025-03-05,1082
2025-03-06,1054
2025-03-07,947
2025-03-08,431
2025-03-09,442
2025-03-10,1118
2025-03-11,1078
2025-03-12,1115
2025-03-13,1030
2025-03-14,831
2025-03-15,439
2025-03-16,409
2025-03-17,1034
2025-03-18,1089
2025-03-19,1036
2025-03-20,885
2025-03-21,824
2025-03-22,395
2025-03-23,394
2025-03-24,939
2025-03-25,958
2025-03-26,927
2025-03-27,941
2025-03-28,946
2025-03-29,390
2025-03-30,312
2025-03-31,894
2025-04-01,861
2025-04-02,956
2025-04-03,889
2025-04-04,816
2025-04-05,376
2025-04-06,340
2025-04-07,884
2025-04-08,891
2025-04-09,832
2025-04-10,864
2025-04-11,781
2025-04-12,365
2025-04-13,356
2025-04-14,778
2025-04-15,868
2025-04-16,1260
2025-04-17,721
2025-04-18,541
2025-04-19,341
2025-04-20,274
2025-04-21,615
2025-04-22,976
2025-04-23,37837
2025-04-24,25902
2025-04-25,5161
2025-04-26,1878
2025-04-27,1884
2025-04-28,29872
2025-04-29,36550
2025-04-30,20322
2025-05-01,3921
2025-05-02,3233
2025-05-03,1495
2025-05-04,1718
2025-05-05,3729
2025-05-06,3287
2025-05-07,2903
2025-05-08,2427
2025-05-09,2103
2025-05-10,882
2025-05-11,906
2025-05-12,2477
2025-05-13,2352
2025-05-14,2023
2025-05-15,1828
2025-05-16,1572
2025-05-17,702
2025-05-18,677
2025-05-19,1833
2025-05-20,1840
2025-05-21,1809
2025-05-22,1644
2025-05-23,40228
2025-05-24,19448
2025-05-25,2754
2025-05-26,6055
2025-05-27,4913
2025-05-28,3950
2025-05-29,3245
2025-05-30,2916
2025-05-31,1262
2025-06-01,1108
2025-06-02,3378
2025-06-03,3000
2025-06-04,2939
2025-06-05,2238
2025-06-06,1910
2025-06-07,870
2025-06-08,738
2025-06-09,1903
2025-06-10,2040
2025-06-11,50037
2025-06-12,14733
2025-06-13,4333
2025-06-14,1958
2025-06-15,1731
2025-06-16,4346
2025-06-17,3434
2025-06-18,3030
2025-06-19,2519
2025-06-20,2262
2025-06-21,894
2025-06-22,881
2025-06-23,2890
2025-06-24,2451
2025-06-25,2167
2025-06-26,2121
2025-06-27,1910
2025-06-28,974
2025-06-29,695
2025-06-30,2303
2025-07-01,2403
2025-07-02,1991
2025-07-03,2268
2025-07-04,1435
2025-07-05,712
2025-07-06,621
2025-07-07,1713
